"Reference","Value","Qty","Manufacturer_Part_Number","Mouser Part Number"
"C1","0.01u","1","GRM155R71E103KA01D","81-GRM36X103K25 "
"C2","10p","1","GJM1555C1H100JB01D","81-GJM1555C1H100JB01"
"C3,C4","100p","2","GRM1555C1H101JA01D","81-GRM1555C1H101JA1D"
"C5","0.4p","1","GJM1555C1HR40WB01D","81-GJM1555C1HR40WB1D"
"C6","0.3p","1","GJM1555C1HR30WB01D","81-GJM1555C1HR30WB1D"
"J1,J2","SMA-J-P-H-ST-TH1","2","SMA-J-P-H-ST-TH1","200-SMAJPHSTTH1"
"J3,J4","Conn_01x04","2","",""
"L1","5.6n","1","0402CS-5N6XGRW C","994-0402CS-5N6XGRW"
"L2","22n","1","LQG15HS22NG02D","81-LQG15HS22NG02D"
"L3","2n","1","0402CS-2N0XGRW","994-0402CS-2N0XGRW"
"R1","0","1","",""
"U1","TSY-83LN+","1","TSY-83LN+","139-TSY-83LN+ "
