"Reference","Value","Package","Qty","Manufacturer_Part_Number","Mouser Part Number"
"C1,C2","47n","0402","2","",""
"C3","0.1u","0805","1","",""
"C4","100p","0603","1","",""
"C5","1u","1206","1","",""
"CFLT1","1n","0402","1","",""
"IC1","AD8319ACPZ-R7","","1","AD8319ACPZ-R7","584-AD8319ACPZ-R7"
"IC2","HMC658LP2E","","1","HMC658LP2E","584-HMC658LP2E"
"J1,J2","Conn_01x05","","2","",""
"J3,J4","Conn_Coaxial","","2","",""
"R1","52.3","0603","1","",""
"R2","10k","0402","1","",""
"U1","EP2W1_","VFQFN-32 Mini-Circuits","1","EP2W1+","139-EP2W1"
"U2","MAAT-010521-L1TR05","","1","MAAT-010521-L1TR05","937-MAAT010521L1TR05"
"U3","TFA32C10DB","","1","TFA32C10DBER","588-TFA32C10DBER"
