"Reference","Value","Footprint","Package","Qty","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number"
"1?","MAAT-010521-L1TR05","atten:QFN50P300X300X100-17N-D","","1","MACOM","MAAT-010521-L1TR05","937-MAAT010521L1TR05"
"C3,C6","47n","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","0402","2","","",""
"C4","100p","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","0603","1","","",""
"C5","0.1u","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","0805","1","","",""
"C8","1u","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","1206","1","","",""
"CFLT1","1n","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","0402","1","","",""
"IC1","AD8319ACPZ-R7","LIB_AD8319ACPZ-R7:SON50P200X300X80-9N-D","","1","Analog Devices","AD8319ACPZ-R7","584-AD8319ACPZ-R7"
"IC2","HMC658LP2E","footprints:SON65P200X200X105-7N","","1","Analog Devices","HMC658LP2E","584-HMC658LP2E"
"J1,J2","Conn_Coaxial","LIB_SMA-J-P-H-ST-TH1:SMAJPHSTTH1","","2","","",""
"J3,J4","Conn_01x05","Connector_PinSocket_2.54mm:PinSocket_1x05_P2.54mm_Vertical","","2","","",""
"R10","52.3","Resistor_SMD:R_0603_1608Metric_Pad0.98x0.95mm_HandSolder","0603","1","","",""
"R13","10k","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","0402","1","","",""
"U1","EP2W1_","splitter:DG1677-2_MNC","VFQFN-32 Mini-Circuits","1","","",""
"U2","TFA32C10DB","attenuatori_tfa32:tfa0603","","1","","",""
