Reference,Value,Package,Qty,Manufacturer_Part_Number,Mouser Part Number,Mouser Price/Stock,LCSC Part #
    C4,10p,603,1,,,,
    C5,10p,603,1,,,,
    C6,10p,603,1,,,,
    C12,10p,603,1,,,,
    C14,10p,603,1,,,,
    C18,10p,603,1,,,,
    C19,10p,603,1,,,,
    C20,10p,603,1,,,,
    C23,10p,603,1,,,,
    C7,1n,402,1,,,,
    C8,1n,402,1,,,,
    C9,1n,402,1,,,,
    C10,1n,402,1,,,,
    C25,1n,,1,,,,
    C26,1n,,1,,,,
    C24,6800p,201,1,,,,
    L1,7.5n,402,1,,,,
    L2,7.5n,402,1,,,,
    C17,33n,805,1,,,,
    C1,0.1u,805,1,,,,
    C2,0.1u,805,1,,,,
    C3,0.1u,805,1,,,,
    C11,0.1u,805,1,,,,
    C15,0.1u,805,1,,,,
    C22,0.1u,805,1,,,,
    C13,100n,805,1,,,,
    C16,100n,805,1,,,,
    C21,100n,1206,1,,,,
    R3,68,603,1,,,,
    R1,100,603,1,,,,
    R4,430,402,1,,,,
    R2,4.7k,805,1,,,,
    U1,ADF5355,,1,ADF5355BCPZ,584-ADF5355BCPZ,https://www.mouser.it/ProductDetail/Analog-Devices/ADF5355BCPZ?qs=hpwIUhX6lWz%252By8O4aZ7X5w%3D%3D,C514325
    J1,Conn_01x09,,1,,,,
    J2,Conn_01x09,,1,,,,
    U2,EP2W_,None,1,EP2W+,139-EP2W,https://www.mouser.it/ProductDetail/Mini-Circuits/EP2W%2b?qs=sGAEpiMZZMukHu%252BjC5l7Yew1d77lVEa%252BTYvvoJuH0%2FE%3D,C3154895 
    U4,EP2W_,None,1,EP2W+,139-EP2W,https://www.mouser.it/ProductDetail/Mini-Circuits/EP2W%2b?qs=sGAEpiMZZMukHu%252BjC5l7Yew1d77lVEa%252BTYvvoJuH0%2FE%3D,C3154895 
    FB1,FerriteBead,,1,BLM15AX100SN1D,81-BLM15AX100SN1D,https://www.mouser.it/ProductDetail/Murata-Electronics/BLM15AX100SN1D?qs=MY6wChARw2wKbKCnjw7BCA%3D%3D,C668299
    U3,NCR2-113+,,1,NCR2-113+,139-NCR2-113,https://www.mouser.it/ProductDetail/Mini-Circuits/NCR2-113%2b?qs=xZ%2FP%252Ba9zWqaeCHs2W%2FppYg%3D%3D,C3304869
    J3,SMA-J-P-H-ST-TH1,,1,SMA-J-P-H-ST-TH1,200-SMAJPHSTTH1,https://www.mouser.co.uk/ProductDetail/Samtec/SMA-J-P-H-ST-TH1?qs=bkXRl3BLxbHdaAB2Qwy6zw%3D%3D,
    j4,SMA-J-P-H-ST-TH1,,1,SMA-J-P-H-ST-TH1,200-SMAJPHSTTH1,https://www.mouser.co.uk/ProductDetail/Samtec/SMA-J-P-H-ST-TH1?qs=bkXRl3BLxbHdaAB2Qwy6zw%3D%3D,
    U5,SMA-J-P-H-ST-TH1,,1,SMA-J-P-H-ST-TH1,200-SMAJPHSTTH1,https://www.mouser.co.uk/ProductDetail/Samtec/SMA-J-P-H-ST-TH1?qs=bkXRl3BLxbHdaAB2Qwy6zw%3D%3D,
    U6,SMA-J-P-H-ST-TH1,,1,SMA-J-P-H-ST-TH1,200-SMAJPHSTTH1,https://www.mouser.co.uk/ProductDetail/Samtec/SMA-J-P-H-ST-TH1?qs=bkXRl3BLxbHdaAB2Qwy6zw%3D%3D,
