Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,138.7575,-91.6525,-90.0,top
C10,1n,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,155.37,-85.85,0.0,top
C11,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,167.99,-102.74,0.0,top
C12,10p,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,167.77,-100.41,0.0,top
C13,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,144.53,-82.56,0.0,top
C14,10p,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,144.77,-84.87,0.0,top
C15,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,168.95,-89.1,-90.0,top
C16,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,161.24,-83.31,-90.0,top
C17,33n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,169.8,-96.54,-90.0,top
C18,10p,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,163.57,-83.42,-90.0,top
C19,10p,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,166.81,-89.88,-90.0,top
C2,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,141.8975,-98.3775,180.0,top
C20,10p,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,160.32,-103.92,-90.0,top
C21,100n,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,170.43,-92.98,0.0,top
C22,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,168.76,-84.84,90.0,top
C23,10p,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,166.3325,-85.05,90.0,top
C24,6800p,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,163.71,-96.1175,90.0,top
C25,1n,CAPC2928X178N,152.96,-104.77,-90.0,top
C26,1n,CAPC2928X178N,157.42,-104.75,-90.0,top
C3,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,145.9484,-102.1119,-90.0,top
C4,10p,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,140.7975,-91.4825,-90.0,top
C5,10p,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,142.1675,-96.4175,180.0,top
C6,10p,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,143.6384,-101.9694,-90.0,top
C7,1n,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,150.87,-82.71,0.0,top
C8,1n,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,156.43,-84.42,180.0,top
C9,1n,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,152.18,-86.28,0.0,top
FB1,FerriteBead,NFZ15SG152SN10B,149.66,-102.79,90.0,top
J1,Conn_01x09,header_microwave,132.8175,-95.445,180.0,top
J2,Conn_01x09,header_microwave,174.8975,-95.445,180.0,top
J3,SMA-J-P-H-ST-TH1,SMAJPHSTTH1,171.2058,-117.0432,0.0,top
L1,7.5n,L_0402_1005Metric_Pad0.77x0.64mm_HandSolder,152.33,-101.64,180.0,top
L2,7.5n,L_0402_1005Metric_Pad0.77x0.64mm_HandSolder,157.4,-101.67,0.0,top
R1,100,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,151.97,-84.63,0.0,top
R2,4.7k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,165.0,-92.89,180.0,top
R3,68,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,172.03,-96.3,-90.0,top
R4,430,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,167.4,-94.99,180.0,top
U1,ADF5355,QFN50P500X500X80-33N-D,154.99,-95.18,0.0,top
U2,EP2W_,QFN51P500X500X99-33N,166.0468,-108.9218,-90.0,top
U3,NCR2-113+,NCR2113,149.64,-109.19,90.0,top
U4,EP2W_,QFN51P500X500X99-33N,141.3413,-108.0047,180.0,top
U5,SMA-J-P-H-ST-TH1,SMAJPHSTTH1,136.2058,-117.0432,0.0,top
U6,SMA-J-P-H-ST-TH1,SMAJPHSTTH1,146.2058,-117.0432,0.0,top
j4,SMA-J-P-H-ST-TH1,SMAJPHSTTH1,161.2058,-117.0432,0.0,top
