Designator,Mid X,Mid Y,Rotation,Layer
1,165.67,-111.99,0.0,top
C1,138.7575,-91.6525,270.0,top
C10,155.37,-85.85,0.0,top
C11,167.99,-102.74,0.0,top
C12,167.77,-100.41,0.0,top
C13,144.53,-82.56,0.0,top
C14,144.77,-84.87,0.0,top
C15,168.95,-89.1,270.0,top
C16,161.24,-83.31,270.0,top
C17,169.8,-96.54,270.0,top
C18,163.57,-83.42,270.0,top
C19,166.81,-89.88,270.0,top
C2,141.8975,-98.3775,180.0,top
C20,160.32,-104.92,270.0,top
C21,170.43,-92.98,0.0,top
C22,168.76,-84.84,90.0,top
C23,166.3325,-85.05,90.0,top
C24,163.71,-96.16,90.0,top
C25,152.96,-104.77,270.0,top
C26,157.42,-104.75,270.0,top
C3,144.05,-103.18,270.0,top
C4,140.7975,-91.4825,270.0,top
C5,142.1675,-96.4175,180.0,top
C6,141.74,-103.0375,270.0,top
C7,150.87,-82.71,0.0,top
C8,156.43,-84.42,180.0,top
C9,152.18,-86.28,0.0,top
FB1,149.66,-102.79,90.0,top
J1,132.8175,-95.445,180.0,top
J2,174.8975,-95.445,180.0,top
L1,152.33,-101.64,180.0,top
L2,157.4,-101.67,0.0,top
R1,151.97,-84.63,0.0,top
R2,165.0,-92.89,180.0,top
R3,172.03,-96.3,270.0,top
R4,167.4,-94.99,180.0,top
U1,154.99,-95.18,0.0,top
U2,149.64,-109.19,90.0,top
U3,140.38,-111.88,0.0,top
