Comment,Designator,Footprint,LCSC,Quantity
1u,C56,CAPPM2014X170N,C118763,1
10n,"C22,C7",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C128911,2
DAC8562TDGSR,"IC10,IC11,IC12",SOP50P490X110-10N,C1554732,3
10u,"L2,L4",SRP1038WA100M,C17496174,2
TPS5450QDDARQ1,"IC2,IC5",SOIC127P600X170-9N,C181270,2
0.1u,"C17,C2",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C18212337,2
10u,"C12,C35,C59",T491C,C1953415,3
5u,C46,T521D,C19940639,1
787m,R35,R_2512_6332Metric_Pad1.40x3.35mm_HandSolder,C20520788,1
LM2991S_NOPB,IC13,TO170P1435X465-6N,C205474,1
5.9k,"R11,R27",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C2077391,2
9.1k,R37,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C2080030,1
ADM7150ARDZ-5.0-R7,"IC8,IC9",SOIC127P600X175-9N,C208034,2
787,R22,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C2080791,1
2.4k,R36,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C2089740,1
120k,"R1,R19",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C2092728,2
1.3k,"R44,R45",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C2110984,2
22u,"C19,C4",CAPC6050X550N,C2168425,2
0.1u,"C1,C13,C14,C16,C18,C21,C24,C25,C26,C36,C41,C42,C43,C44,C48,C49,C5,C58,C62,C65,C66,C70,C8,C9",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C2170167,24
10u,"C11,C15,C20,C23,C3,C6",CAPC3225X230N,C2171868,6
150n,C81,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C2172092,1
33u,C57,C4532_Commercial,C2173074,1
100 nF,"C73,C74,C75,C76,C77,C78",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C2176767,6
100p,"C79,C82",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C2255672,2
MC34063AD,U2,SOIC127P599X175-8N,C236257,1
Conn_01x02,"J10,J11,J12,J13,J14,J3,J4,J5,J6,J7,J8,J9",09652028,C239393,12
330u,L6,DR1050331R,C2454092,1
100u,C45,CAPC3225X280N,C2880380,1
953,R30,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C3009264,1
Conn_01x04,"J16,J17",470531000,C3025061,2
22u,"C31,C34",CAPPM3528X210N,C308917,2
1,"R69,R73",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C313850,2
150u,C10,16SVF270M,C347568,1
39n,"C67,C68",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C3881405,2
200p,C47,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C3905935,1
22u,L1,IND_SER1390_COC,C3911669,1
240k,R28,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C4071803,1
12k,R31,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C4092271,1
95u,L5,ETQ-P4M_KFM,C409631,1
1k,R39,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C4118653,1
1 uF,"C71,C72",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C429873,2
576,R38,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C4337977,1
SBRD10200TR,D8,SBR10200CTL13,C459529,1
LT3083EQ#PBF,"IC1,IC3,IC4",LT3083EQPBF,C459910,3
1N5819,D21,SOD3716X145N,C460770,1
"PMEG3050EP,115","D16,D17,D19,D20,D22,D23",PMEG3050EP115,C50603,6
LED,"D1,D11,D12,D13,D2,D5,D6,D7",LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C5342088,8
510,R3,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C5635009,1
1.1k,R2,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C5687974,1
LT1632CS8#PBF ,"U17,U18,U21,U22",SOIC127P600X175-8N,C579789,4
ADM7150ARDZ-3.3-R7 ,"IC6,IC7",SOIC127P600X175-9N,C658444,2
SW_SPDT,SW1,SW_500SSP1S2M2QEA,C6689030,1
1.8k,R13,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C844606,1
33u,L3,IHLP3232DZER330M11,C845055,1
SS24FL,D18,SODFL3617X108N,C894433,1
~,U16,mixer,,1
TestPoint,TP20,TestPoint_Pad_D1.0mm,,1
68,R20,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
TestPoint,TP4,TestPoint_Pad_D1.0mm,,1
SiT5157AI-FK-33N0-100.000000X,Y1,SiT5157AIFK33N0100000000X,,1
TestPoint,TP9,TestPoint_Pad_D1.0mm,,1
MountingHole_Pad,H3,MountingHole_3.2mm_M3_DIN965_Pad,,1
TestPoint,TP7,TestPoint_Pad_D1.0mm,,1
TestPoint,TP12,TestPoint_Pad_D1.0mm,,1
Jumper_2_Open,JP9,PinHeader_1x02_P2.54mm_Vertical,,1
TestPoint,TP5,TestPoint_Pad_D1.0mm,,1
MountingHole_Pad,H1,MountingHole_3.2mm_M3_DIN965_Pad,,1
TestPoint,TP2,TestPoint_Pad_D1.0mm,,1
TestPoint,TP8,TestPoint_Pad_D1.0mm,,1
1.4k,R32,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
TestPoint,TP18,TestPoint_Pad_D1.0mm,,1
~,U15,mixer,,1
10k,R12,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
TestPoint,TP3,TestPoint_Pad_D1.0mm,,1
~,LO2,LO,,1
MountingHole_Pad,H5,MountingHole_3.2mm_M3_DIN965_Pad,,1
TestPoint,TP13,TestPoint_Pad_D1.0mm,,1
TestPoint,TP14,TestPoint_Pad_D1.0mm,,1
Barrel_Jack_Switch,J15,694106301002_1,,1
~,U20,APC,,1
~,U19,APC,,1
TestPoint,MUXOUT_1,TestPoint_Pad_D1.5mm,,1
~,U10,tsy_83ln+_amplifier,,1
Jumper_2_Open,JP4,PinHeader_1x02_P2.54mm_Vertical,,1
TestPoint,TP15,TestPoint_Pad_D1.0mm,,1
