Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,290.4404,-115.178,0.0,top
C10,150u,16SVF270M,330.0434,-75.0482,-90.0,top
C11,10u,CAPC3225X230N,313.3827,-116.0548,180.0,top
C12,10u,T491C,321.0434,-75.0482,90.0,top
C13,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,313.3827,-119.0548,180.0,top
C14,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,316.0434,-75.0482,-90.0,top
C15,10u,CAPC3225X230N,326.2282,-124.0948,90.0,top
C16,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,330.2282,-124.0948,90.0,top
C17,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,357.0434,-103.0482,-90.0,top
C18,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,350.4404,-115.178,0.0,top
C19,22u,CAPC6050X550N,361.5434,-103.0482,-90.0,top
C2,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,357.0434,-71.0482,-90.0,top
C20,10u,CAPC3225X230N,343.3827,-116.0548,180.0,top
C21,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,343.3827,-119.0548,180.0,top
C22,10n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,352.0434,-98.0482,0.0,top
C23,10u,CAPC3225X230N,356.2282,-124.0948,90.0,top
C24,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,360.2282,-124.0948,90.0,top
C25,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,309.1968,-138.5866,0.0,bottom
C26,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,309.1968,-189.7226,0.0,bottom
C27,10u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,313.0068,-134.1882,180.0,bottom
C28,10u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,313.0068,-185.3242,180.0,bottom
C29,10u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,309.1968,-136.6266,0.0,bottom
C3,10u,CAPC3225X230N,283.3827,-116.0548,180.0,top
C30,10u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,309.1968,-187.7626,0.0,bottom
C31,22u,CAPPM3528X210N,339.3314,-102.1582,-90.0,top
C32,1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,305.4368,-136.6266,0.0,bottom
