"Reference","Qty","Manufacturer","Manufacturer Part Number","Mouser Part Number"
"C1,C5,C8,C9,C13,C14,C16,C18,C21,C24,C25,C26,C36,C41,C42,C43,C44,C48,C49,C58,C62,C65,C66,C70","24","KYOCERA AVX","08053C104JAZ2A","581-08053C104JAZ2A"
"C2,C17","2","KYOCERA AVX","KAM21BR71H104JT ","581-KAM21BR71H104JT"
"C3,C6,C11,C15,C20,C23","6","TDK","C3225X8R1E106K250AC","810-C3225X816K25AC "
"C4,C19","2","TDK","CKG57NX5R1H226M500JH","810-CKG57NX5R1H226M"
"C7,C22","2","KYOCERA AVX","08055C103KAT2A","581-08055C103K"
"C10","1","Panasonic","10SVP150MX","667-10SVP150MX"
"C12,C35,C59","3","KEMET","T491C106M020AT","80-T491C106M020"
"C27,C28,C29,C30,C32,C33,C37,C38,C39,C40,C50,C51,C52,C53,C54,C55,C60,C61,C63,C64,C69,C80,H1,H2,H3,H4,H5,H6,J2,JP1,JP2,JP3,JP4,JP8,JP9,LO1,LO2,MUXOUT_1,MUXOUT_2,R8,R9,R10,R12,R14,R20,R21,R29,R33,R34,R40,R41,R42,R43,R46,R47,R48,R49,R50,R51,R52,R53,R54,R55,R56,R57,R58,R59,R60,R61,R62,R63,R64,R65,R66,R67,R68,R70,R71,R72,TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9,TP10,TP11,TP12,TP13,TP14,TP15,TP16,TP17,TP18,TP19,TP20,U1,U3,U4,U5,U6,U7,U9,U10,U11,U14,U15,U16,U19,U20","113","","",""
"C31,C34","2","KYOCERA AVX","TPSB226K020R0400","581-TPSB226K020R0400"
"C45","1","TAIYO YUDEN","LMK325ABJ107MM-T","963-LMK325ABJ107MM-T"
"C46","1","KEMET","T521D565M050ATE070","80-T521D565M50ATE70"
"C47","1","KYOCERA AVX","600F201JT250XT","581-600F201JT"
"C56","1","KYOCERA AVX","TAJP106K010RNJ","581-TAJP106K010RNJ "
"C57","1","TDK","C4532X5R1C336M250KA","810-C4532X5R1C336M"
"C67,C68","2","Vishay","VJ0805Y393KXJAC","77-VJ0805Y393KXJAC"
"C71,C72","2","KYOCERA AVX","0805YC105KAT2A","581-0805YC105KAT2A"
"C73,C74,C75,C76,C77,C78","6","KYOCERA AVX","0805YC104M4T2A","581-0805YC104M4T2A"
"C79,C82","2","KYOCERA AVX","0805YA101FAT2A","581-0805YA101FAT2A"
"C81","1","KYOCERA AVX","0805YC154JAT2A","581-0805YC154JAT2A"
"D1,D2,D5,D6,D7,D11,D12,D13","8","Bivar","SM0805GC","749-SM0805GC"
"D8","1","Diodes Incorporated","SBR10200CTL-13","621-SBR10200CTL-13"
"D16,D17,D19,D20,D22,D23","6","Nexperia","PMEG3050EP,115","771-PMEG3050EP115 "
